DS_Name,DS_Address,EE_Name,EE_Address,ED_Name,ED_Address,Match
zacsconvenience,1977keelestreet,zafferanogourmetpizza,579mountpleasantroad,28,34,u
zacsconvenience,1977keelestreet,zaffronristorante,6200yongestreet,44,47,u
zacsconvenience,1977keelestreet,zaglobarestaurant,317roncesvallesavenue,31,44,u
zacsconvenience,1977keelestreet,zagolauthenticethiopiancuisine,875bloorstreetwest,44,48,u
zacsconvenience,1977keelestreet,zagrosbarlounge,1245stclairavenuewest,40,39,u
zacsconvenience,1977keelestreet,zaiqahrestaurant,1291gerrardstreeteast,32,50,u
zacsconvenience,1977keelestreet,zaiqarestaurantsweets,1770albionroad,33,34,u
zacsconvenience,1977keelestreet,zakkushioncarlton,193carltonstreet,38,58,u
zacsconvenience,1977keelestreet,zallyscaffe,131bremnerboulevard,38,35,u
zacsconvenience,1977keelestreet,zamaleksandrasrestaurantandbar,1340thequeensway,31,32,u
zacsconvenience,1977keelestreet,zamrestaurantbar,1340thequeensway,26,32,u
zacsconvenience,1977keelestreet,zamzamhalalpizza,2980danforthavenue,19,24,u
zacsconvenience,1977keelestreet,zamzamhalalpizzaandwings,2980danforthavenue,26,24,u
zacsconvenience,1977keelestreet,zamzamhalalpizzawings,2980danforthavenue,22,24,u
zacsconvenience,1977keelestreet,zamzampizzaandwings,2980danforthavenue,29,24,u
zacsconvenience,1977keelestreet,zamzamrestaurant,1987kiplingavenue,26,44,u
zacsconvenience,1977keelestreet,zamzamtikkakabab,462birchmountroad,19,12,u
zacsconvenience,1977keelestreet,zanepatisserieboulangerie,1842queenstreeteast,40,53,u
zacsconvenience,1977keelestreet,zantebistro,1950gerrardstreeteast,38,50,u
zacsconvenience,1977keelestreet,zantecafe,1069midlandavenue,50,31,u
zacsconvenience,1977keelestreet,zanzibarcircustavern,359yongestreet,40,55,u
zacsconvenience,1977keelestreet,zavcoffeeshopandgallery,2048danforthavenue,42,18,u
zacsconvenience,1977keelestreet,zavidacoffeeroasters,384yongestreet,40,48,u
zacsconvenience,1977keelestreet,zazaespressobar,75yorkvilleavenue,27,38,u
zacsconvenience,1977keelestreet,zazaespressobar,25fontenaycourt,27,20,u
zacsconvenience,1977keelestreet,zazaespressobar,256beresfordavenue,27,36,u
